formula,pattern,template_formula,template_file,roles,chalcogen,halide,charge_check
TaSnS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Sn;C1:Ta,S,Br,sum(role_charge*stoich)=2*Ch+X
TaSnS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Ta,S,I,sum(role_charge*stoich)=2*Ch+X
TaSnSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Ta,Se,F,sum(role_charge*stoich)=2*Ch+X
TaSnSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Ta,Se,Cl,sum(role_charge*stoich)=2*Ch+X
TaSnSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Ta,Se,Br,sum(role_charge*stoich)=2*Ch+X
TaSnSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Ta,Se,I,sum(role_charge*stoich)=2*Ch+X
TaSnTe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Ta,Te,F,sum(role_charge*stoich)=2*Ch+X
TaSnTe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Ta,Te,Cl,sum(role_charge*stoich)=2*Ch+X
TaSnTe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Ta,Te,Br,sum(role_charge*stoich)=2*Ch+X
TaSnTe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Ta,Te,I,sum(role_charge*stoich)=2*Ch+X
SnWS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Sn;C1:W,S,F,sum(role_charge*stoich)=2*Ch+X
SnWS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:W,S,Cl,sum(role_charge*stoich)=2*Ch+X
SnWS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Sn;C1:W,S,Br,sum(role_charge*stoich)=2*Ch+X
SnWS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:W,S,I,sum(role_charge*stoich)=2*Ch+X
SnWSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:W,Se,F,sum(role_charge*stoich)=2*Ch+X
SnWSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:W,Se,Cl,sum(role_charge*stoich)=2*Ch+X
SnWSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:W,Se,Br,sum(role_charge*stoich)=2*Ch+X
SnWSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:W,Se,I,sum(role_charge*stoich)=2*Ch+X
SnTe2WF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:W,Te,F,sum(role_charge*stoich)=2*Ch+X
SnTe2WCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:W,Te,Cl,sum(role_charge*stoich)=2*Ch+X
SnTe2WBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:W,Te,Br,sum(role_charge*stoich)=2*Ch+X
SnTe2WI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:W,Te,I,sum(role_charge*stoich)=2*Ch+X
FeSnS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Sn;C1:Fe,S,F,sum(role_charge*stoich)=2*Ch+X
FeSnS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Fe,S,Cl,sum(role_charge*stoich)=2*Ch+X
FeSnS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Sn;C1:Fe,S,Br,sum(role_charge*stoich)=2*Ch+X
FeSnS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Fe,S,I,sum(role_charge*stoich)=2*Ch+X
FeSnSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Fe,Se,F,sum(role_charge*stoich)=2*Ch+X
FeSnSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Fe,Se,Cl,sum(role_charge*stoich)=2*Ch+X
FeSnSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Fe,Se,Br,sum(role_charge*stoich)=2*Ch+X
FeSnSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Fe,Se,I,sum(role_charge*stoich)=2*Ch+X
FeSnTe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Fe,Te,F,sum(role_charge*stoich)=2*Ch+X
FeSnTe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Fe,Te,Cl,sum(role_charge*stoich)=2*Ch+X
FeSnTe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Fe,Te,Br,sum(role_charge*stoich)=2*Ch+X
FeSnTe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Fe,Te,I,sum(role_charge*stoich)=2*Ch+X
SnRuS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Sn;C1:Ru,S,F,sum(role_charge*stoich)=2*Ch+X
SnRuS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Ru,S,Cl,sum(role_charge*stoich)=2*Ch+X
SnRuS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Sn;C1:Ru,S,Br,sum(role_charge*stoich)=2*Ch+X
SnRuS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Ru,S,I,sum(role_charge*stoich)=2*Ch+X
SnRuSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Ru,Se,F,sum(role_charge*stoich)=2*Ch+X
SnRuSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Ru,Se,Cl,sum(role_charge*stoich)=2*Ch+X
SnRuSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Ru,Se,Br,sum(role_charge*stoich)=2*Ch+X
SnRuSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Ru,Se,I,sum(role_charge*stoich)=2*Ch+X
SnTe2RuF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Ru,Te,F,sum(role_charge*stoich)=2*Ch+X
SnTe2RuCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Ru,Te,Cl,sum(role_charge*stoich)=2*Ch+X
SnTe2RuBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Ru,Te,Br,sum(role_charge*stoich)=2*Ch+X
SnTe2RuI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Ru,Te,I,sum(role_charge*stoich)=2*Ch+X
SnRhS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Sn;C1:Rh,S,F,sum(role_charge*stoich)=2*Ch+X
SnRhS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Rh,S,Cl,sum(role_charge*stoich)=2*Ch+X
SnRhS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Sn;C1:Rh,S,Br,sum(role_charge*stoich)=2*Ch+X
SnRhS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Rh,S,I,sum(role_charge*stoich)=2*Ch+X
SnRhSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Rh,Se,F,sum(role_charge*stoich)=2*Ch+X
SnRhSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Rh,Se,Cl,sum(role_charge*stoich)=2*Ch+X
SnRhSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Rh,Se,Br,sum(role_charge*stoich)=2*Ch+X
SnRhSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Rh,Se,I,sum(role_charge*stoich)=2*Ch+X
SnTe2RhF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Rh,Te,F,sum(role_charge*stoich)=2*Ch+X
SnTe2RhCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Rh,Te,Cl,sum(role_charge*stoich)=2*Ch+X
SnTe2RhBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Rh,Te,Br,sum(role_charge*stoich)=2*Ch+X
SnTe2RhI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Rh,Te,I,sum(role_charge*stoich)=2*Ch+X
SnBiS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Sn;C1:Bi,S,F,sum(role_charge*stoich)=2*Ch+X
SnBiS2Cl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Sn;C1:Bi,S,Cl,sum(role_charge*stoich)=2*Ch+X
SnBiS2Br,B1C1_Ch2_X1,FeBiS2Br,mp-1078379.cif,B1:Sn;C1:Bi,S,Br,sum(role_charge*stoich)=2*Ch+X
SnBiS2I,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Sn;C1:Bi,S,I,sum(role_charge*stoich)=2*Ch+X
SnBiSe2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Sn;C1:Bi,Se,F,sum(role_charge*stoich)=2*Ch+X
SnBiSe2Cl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Sn;C1:Bi,Se,Cl,sum(role_charge*stoich)=2*Ch+X
SnBiSe2Br,B1C1_Ch2_X1,FeBiS2Br,mp-1078379.cif,B1:Sn;C1:Bi,Se,Br,sum(role_charge*stoich)=2*Ch+X
SnBiSe2I,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Sn;C1:Bi,Se,I,sum(role_charge*stoich)=2*Ch+X
SnBiTe2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Sn;C1:Bi,Te,F,sum(role_charge*stoich)=2*Ch+X
SnBiTe2Cl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Sn;C1:Bi,Te,Cl,sum(role_charge*stoich)=2*Ch+X
SnBiTe2Br,B1C1_Ch2_X1,FeBiS2Br,mp-1078379.cif,B1:Sn;C1:Bi,Te,Br,sum(role_charge*stoich)=2*Ch+X
SnBiTe2I,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Sn;C1:Bi,Te,I,sum(role_charge*stoich)=2*Ch+X
SnSbS2F,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Sb,S,F,sum(role_charge*stoich)=2*Ch+X
SnSbS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Sb,S,Cl,sum(role_charge*stoich)=2*Ch+X
SnSbS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Sn;C1:Sb,S,Br,sum(role_charge*stoich)=2*Ch+X
SnSbS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Sb,S,I,sum(role_charge*stoich)=2*Ch+X
SnSbSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Sb,Se,F,sum(role_charge*stoich)=2*Ch+X
SnSbSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Sb,Se,Cl,sum(role_charge*stoich)=2*Ch+X
SnSbSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Sb,Se,Br,sum(role_charge*stoich)=2*Ch+X
SnSbSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Sb,Se,I,sum(role_charge*stoich)=2*Ch+X
SnSbTe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Sn;C1:Sb,Te,F,sum(role_charge*stoich)=2*Ch+X
SnSbTe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Sn;C1:Sb,Te,Cl,sum(role_charge*stoich)=2*Ch+X
SnSbTe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Sn;C1:Sb,Te,Br,sum(role_charge*stoich)=2*Ch+X
SnSbTe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Sn;C1:Sb,Te,I,sum(role_charge*stoich)=2*Ch+X
AlPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:Al,S,F,sum(role_charge*stoich)=2*Ch+X
AlPdS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Al,S,Cl,sum(role_charge*stoich)=2*Ch+X
AlPdS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Pd;C1:Al,S,Br,sum(role_charge*stoich)=2*Ch+X
AlPdS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Al,S,I,sum(role_charge*stoich)=2*Ch+X
AlPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Al,Se,F,sum(role_charge*stoich)=2*Ch+X
AlPdSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Al,Se,Cl,sum(role_charge*stoich)=2*Ch+X
AlPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Al,Se,Br,sum(role_charge*stoich)=2*Ch+X
AlPdSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Al,Se,I,sum(role_charge*stoich)=2*Ch+X
AlTe2PdF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Al,Te,F,sum(role_charge*stoich)=2*Ch+X
AlTe2PdCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Al,Te,Cl,sum(role_charge*stoich)=2*Ch+X
AlTe2PdBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Al,Te,Br,sum(role_charge*stoich)=2*Ch+X
AlTe2PdI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Al,Te,I,sum(role_charge*stoich)=2*Ch+X
GaPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:Ga,S,F,sum(role_charge*stoich)=2*Ch+X
GaPdS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Ga,S,Cl,sum(role_charge*stoich)=2*Ch+X
GaPdS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Pd;C1:Ga,S,Br,sum(role_charge*stoich)=2*Ch+X
GaPdS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Ga,S,I,sum(role_charge*stoich)=2*Ch+X
GaPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Ga,Se,F,sum(role_charge*stoich)=2*Ch+X
GaPdSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Ga,Se,Cl,sum(role_charge*stoich)=2*Ch+X
GaPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Ga,Se,Br,sum(role_charge*stoich)=2*Ch+X
GaPdSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Ga,Se,I,sum(role_charge*stoich)=2*Ch+X
GaTe2PdF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Ga,Te,F,sum(role_charge*stoich)=2*Ch+X
GaTe2PdCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Ga,Te,Cl,sum(role_charge*stoich)=2*Ch+X
GaTe2PdBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Ga,Te,Br,sum(role_charge*stoich)=2*Ch+X
GaTe2PdI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Ga,Te,I,sum(role_charge*stoich)=2*Ch+X
InPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:In,S,F,sum(role_charge*stoich)=2*Ch+X
InPdS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:In,S,Cl,sum(role_charge*stoich)=2*Ch+X
InPdS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Pd;C1:In,S,Br,sum(role_charge*stoich)=2*Ch+X
InPdS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:In,S,I,sum(role_charge*stoich)=2*Ch+X
InPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:In,Se,F,sum(role_charge*stoich)=2*Ch+X
InPdSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:In,Se,Cl,sum(role_charge*stoich)=2*Ch+X
InPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:In,Se,Br,sum(role_charge*stoich)=2*Ch+X
InPdSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:In,Se,I,sum(role_charge*stoich)=2*Ch+X
InTe2PdF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:In,Te,F,sum(role_charge*stoich)=2*Ch+X
InTe2PdCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:In,Te,Cl,sum(role_charge*stoich)=2*Ch+X
InTe2PdBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:In,Te,Br,sum(role_charge*stoich)=2*Ch+X
InTe2PdI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:In,Te,I,sum(role_charge*stoich)=2*Ch+X
ScPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:Sc,S,F,sum(role_charge*stoich)=2*Ch+X
ScPdS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Sc,S,Cl,sum(role_charge*stoich)=2*Ch+X
ScPdS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Pd;C1:Sc,S,Br,sum(role_charge*stoich)=2*Ch+X
ScPdS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Sc,S,I,sum(role_charge*stoich)=2*Ch+X
ScPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Sc,Se,F,sum(role_charge*stoich)=2*Ch+X
ScPdSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Sc,Se,Cl,sum(role_charge*stoich)=2*Ch+X
ScPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Sc,Se,Br,sum(role_charge*stoich)=2*Ch+X
ScPdSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Sc,Se,I,sum(role_charge*stoich)=2*Ch+X
ScTe2PdF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Sc,Te,F,sum(role_charge*stoich)=2*Ch+X
ScTe2PdCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Sc,Te,Cl,sum(role_charge*stoich)=2*Ch+X
ScTe2PdBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Sc,Te,Br,sum(role_charge*stoich)=2*Ch+X
ScTe2PdI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Sc,Te,I,sum(role_charge*stoich)=2*Ch+X
YPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:Y,S,F,sum(role_charge*stoich)=2*Ch+X
YPdS2Cl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Pd;C1:Y,S,Cl,sum(role_charge*stoich)=2*Ch+X
YPdS2Br,B1C1_Ch2_X1,MnBiS2Br,mp-557805.cif,B1:Pd;C1:Y,S,Br,sum(role_charge*stoich)=2*Ch+X
YPdS2I,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Pd;C1:Y,S,I,sum(role_charge*stoich)=2*Ch+X
YPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Y,Se,F,sum(role_charge*stoich)=2*Ch+X
YPdSe2Cl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Pd;C1:Y,Se,Cl,sum(role_charge*stoich)=2*Ch+X
YPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Y,Se,Br,sum(role_charge*stoich)=2*Ch+X
YPdSe2I,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Pd;C1:Y,Se,I,sum(role_charge*stoich)=2*Ch+X
YTe2PdF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Y,Te,F,sum(role_charge*stoich)=2*Ch+X
YTe2PdCl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Pd;C1:Y,Te,Cl,sum(role_charge*stoich)=2*Ch+X
YTe2PdBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Y,Te,Br,sum(role_charge*stoich)=2*Ch+X
YTe2PdI,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Pd;C1:Y,Te,I,sum(role_charge*stoich)=2*Ch+X
LaPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:La,S,F,sum(role_charge*stoich)=2*Ch+X
LaPdS2Cl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Pd;C1:La,S,Cl,sum(role_charge*stoich)=2*Ch+X
LaPdS2Br,B1C1_Ch2_X1,MnBiS2Br,mp-557805.cif,B1:Pd;C1:La,S,Br,sum(role_charge*stoich)=2*Ch+X
LaPdS2I,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Pd;C1:La,S,I,sum(role_charge*stoich)=2*Ch+X
LaPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:La,Se,F,sum(role_charge*stoich)=2*Ch+X
LaPdSe2Cl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Pd;C1:La,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LaPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:La,Se,Br,sum(role_charge*stoich)=2*Ch+X
LaPdSe2I,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Pd;C1:La,Se,I,sum(role_charge*stoich)=2*Ch+X
LaTe2PdF,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:La,Te,F,sum(role_charge*stoich)=2*Ch+X
LaTe2PdCl,B1C1_Ch2_X1,MnBiS2Cl,mp-558130.cif,B1:Pd;C1:La,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LaTe2PdBr,B1C1_Ch2_X1,MnBiS2Br,mp-557805.cif,B1:Pd;C1:La,Te,Br,sum(role_charge*stoich)=2*Ch+X
LaTe2PdI,B1C1_Ch2_X1,MnBiSe2I,mp-569109.cif,B1:Pd;C1:La,Te,I,sum(role_charge*stoich)=2*Ch+X
LuPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:Lu,S,F,sum(role_charge*stoich)=2*Ch+X
LuPdS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Lu,S,Cl,sum(role_charge*stoich)=2*Ch+X
LuPdS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Pd;C1:Lu,S,Br,sum(role_charge*stoich)=2*Ch+X
LuPdS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Lu,S,I,sum(role_charge*stoich)=2*Ch+X
LuPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Lu,Se,F,sum(role_charge*stoich)=2*Ch+X
LuPdSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Lu,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LuPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Lu,Se,Br,sum(role_charge*stoich)=2*Ch+X
LuPdSe2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Lu,Se,I,sum(role_charge*stoich)=2*Ch+X
LuTe2PdF,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Lu,Te,F,sum(role_charge*stoich)=2*Ch+X
LuTe2PdCl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Lu,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LuTe2PdBr,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Lu,Te,Br,sum(role_charge*stoich)=2*Ch+X
LuTe2PdI,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Lu,Te,I,sum(role_charge*stoich)=2*Ch+X
TiPdS2F,B1C1_Ch2_X1,SrBiS2F,mp-1078631.cif,B1:Pd;C1:Ti,S,F,sum(role_charge*stoich)=2*Ch+X
TiPdS2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Ti,S,Cl,sum(role_charge*stoich)=2*Ch+X
TiPdS2Br,B1C1_Ch2_X1,MnSbS2Br,mp-554061.cif,B1:Pd;C1:Ti,S,Br,sum(role_charge*stoich)=2*Ch+X
TiPdS2I,B1C1_Ch2_X1,MnSbSe2I,mp-570268.cif,B1:Pd;C1:Ti,S,I,sum(role_charge*stoich)=2*Ch+X
TiPdSe2F,B1C1_Ch2_X1,SrSbSe2F,mp-556194.cif,B1:Pd;C1:Ti,Se,F,sum(role_charge*stoich)=2*Ch+X
TiPdSe2Cl,B1C1_Ch2_X1,MnSbS2Cl,mp-555844.cif,B1:Pd;C1:Ti,Se,Cl,sum(role_charge*stoich)=2*Ch+X
TiPdSe2Br,B1C1_Ch2_X1,MnSbSe2Br,mp-567478.cif,B1:Pd;C1:Ti,Se,Br,sum(role_charge*stoich)=2*Ch+X
